X,Y,fid,CD_MUN,NM_MUN,SIGLA_UF,AREA_KM2,DENSIDADE,tocantins_,tocantin_1,tocantin_2,tocantin_3,icon_url
-48.8823587855486,-10.422515265167,107,"1718451",Pugmil,TO,401.173999999999978,6.773000000000000,TO,"17","18451","2717",./0.png
-47.1131096840999,-8.6973610420558,108,"1718501",Recursolândia,TO,2215.668999999999869,1.960000000000000,TO,"17","18501","4342",./0.png
-48.1362085343612,-6.45993519550243,109,"1718550",Riachinho,TO,512.155999999999949,9.146000000000001,TO,"17","18550","4684",./0.png
-46.7376572206284,-11.3369933574833,110,"1718659",Rio da Conceição,TO,845.822999999999979,2.567000000000000,TO,"17","18659","2171",./0.png
-48.452510037037,-9.23589613220251,111,"1718709",Rio dos Bois,TO,847.254999999999995,3.371000000000000,TO,"17","18709","2856",./0.png
-47.4959949956793,-9.64738368103557,112,"1718758",Rio Sono,TO,6346.279000000000451,1.022000000000000,TO,"17","18758","6488",./0.png
-47.9188195040682,-5.32964930879812,113,"1718808",Sampaio,TO,222.435000000000002,21.552000000000000,TO,"17","18808","4794",./0.png
-49.8761454164095,-12.4009835327185,114,"1718840",Sandolândia,TO,3535.135000000000218,0.954000000000000,TO,"17","18840","3373",./0.png
-48.9749777254908,-7.09311272465091,115,"1718865",Santa Fé do Araguaia,TO,1671.239000000000033,4.545000000000000,TO,"17","18865","7595",./0.png
-47.8483006987181,-8.82468028797392,116,"1718881",Santa Maria do Tocantins,TO,1412.317999999999984,2.468000000000000,TO,"17","18881","3486",./0.png
-49.2950309078549,-10.9699701805147,117,"1718899",Santa Rita do Tocantins,TO,3281.219000000000051,0.727000000000000,TO,"17","18899","2386",./0.png
-48.1083690462925,-11.3973125507122,118,"1718907",Santa Rosa do Tocantins,TO,1804.686999999999898,2.685000000000000,TO,"17","18907","4846",./0.png
-47.7415366388298,-10.2989557916658,119,"1719004",Santa Tereza do Tocantins,TO,539.510999999999967,5.370000000000000,TO,"17","19004","2897",./0.png
-47.7511029250518,-6.47265382921523,120,"1720002",Santa Terezinha do Tocantins,TO,274.103999999999985,9.230000000000000,TO,"17","20002","2530",./0.png
-47.9398618939247,-5.97600500105693,121,"1720101",São Bento do Tocantins,TO,1099.579999999999927,4.903000000000000,TO,"17","20101","5391",./0.png
-46.6779140603076,-10.0686012901616,122,"1720150",São Félix do Tocantins,TO,1913.109999999999900,0.835000000000000,TO,"17","20150","1598",./0.png
-47.5977712330152,-5.54342830880178,123,"1720200",São Miguel do Tocantins,TO,406.956999999999994,30.210000000000001,TO,"17","20200","12294",./1.png
-48.3641526540628,-12.5775703356183,124,"1720259",São Salvador do Tocantins,TO,1424.752999999999929,2.172000000000000,TO,"17","20259","3094",./0.png
-48.3317427201683,-5.24100438720337,125,"1720309",São Sebastião do Tocantins,TO,289.596999999999980,16.754000000000001,TO,"17","20309","4852",./0.png
-48.1696634131179,-11.8040443009284,126,"1720499",São Valério,TO,2520.465000000000146,1.549000000000000,TO,"17","20499","3904",./0.png
-48.004989276499,-11.1307531680296,127,"1720655",Silvanópolis,TO,1258.770999999999958,4.312000000000001,TO,"17","20655","5428",./0.png
-47.6840943163564,-5.63511637485125,128,"1720804",Sítio Novo do Tocantins,TO,307.095000000000027,29.297000000000001,TO,"17","20804","8997",./1.png
-48.8343431273648,-12.11328129702,129,"1720853",Sucupira,TO,1018.221999999999980,1.950000000000000,TO,"17","20853","1986",./0.png
-46.5656845234108,-12.387321727911,130,"1720903",Taguatinga,TO,2341.918999999999869,7.184000000000000,TO,"17","20903","16825",./1.png
-46.9937236585031,-12.1397250465102,131,"1720937",Taipas do Tocantins,TO,1105.303000000000111,1.960000000000000,TO,"17","20937","2166",./0.png
-49.0484532025489,-12.6821711510038,132,"1720978",Talismã,TO,2155.503000000000156,1.305000000000000,TO,"17","20978","2812",./0.png
-48.1520920150761,-10.2201828741514,133,"1721000",Palmas,TO,2227.329000000000178,137.516999999999996,TO,"17","21000","306296",./4.png
-48.1409153684115,-9.60336436079606,134,"1721109",Tocantínia,TO,2609.775000000000091,2.919000000000000,TO,"17","21109","7617",./0.png
-47.5380717374573,-6.25684981218285,135,"1721208",Tocantinópolis,TO,1083.599999999999909,21.082999999999998,TO,"17","21208","22845",./1.png
-48.2595954490515,-8.93857912718593,136,"1721257",Tupirama,TO,706.883000000000038,2.719000000000000,TO,"17","21257","1922",./0.png
-48.2106820974547,-8.35658710213246,137,"1721307",Tupiratins,TO,889.125999999999976,3.069000000000000,TO,"17","21307","2729",./0.png
-48.0019817132389,-6.91006010544638,138,"1722081",Wanderlândia,TO,1365.431000000000040,8.593999999999999,TO,"17","22081","11734",./1.png
-48.4510351224081,-6.54543660430429,139,"1722107",Xambioá,TO,1190.489000000000033,9.677000000000000,TO,"17","22107","11520",./1.png
